,original,image,size,label
0,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_39edbfc07c389a37b11948e029c297c1,./data/malicious/bd6a9Aa8d6fC8ECc.png,159744,1
1,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_3d02d45b1995fbb4d0641cc5d0402fb7,./data/malicious/6af04dB85Be4de82.png,325632,1
2,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_4996535a6e01a4f49a8f590bb2c6eb4a,./data/malicious/073E40f8B2f0E285.png,328704,1
3,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_1a13e4cb327caa578e41acf2b7f2f414,./data/malicious/61B23805d084AB98.png,78336,1
4,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_399dbd341e60525632f21dc19b96a981,./data/malicious/A0eA5d62dfd2cd37.png,315904,1
5,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_1cfff144f176105024f63c9112160a50,./data/malicious/03c2bb349328fC2e.png,3584,1
6,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_3bff12479ce90981e34da060aa21ab34,./data/malicious/F06f33fAbc62DEc6.png,189951,1
7,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_3d28d9839a5429306d74fce304247090,./data/malicious/46cf827daFbE19e7.png,328192,1
8,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_4a4c1eb8767fa2f3eb111262f9ec8310,./data/malicious/9CaAf7312EbbdE75.png,340005,1
9,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_53633e160e7b110e4eedcfb3477ac540,./data/malicious/c9cAA01F1bcD2e08.png,335064,1
10,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_2caacae77704bede1fe830809af7ad0e,./data/malicious/f0eBA3a8b4CD671B.png,718336,1
11,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_2d26ea2caa241fbc931827f9378ee580,./data/malicious/d243d6f953db0eCD.png,8704,1
12,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_565660f32504f490796866b4ce52d750,./data/malicious/6acfcfF0B1daD28C.png,88225,1
13,/Volumes/New Volume/malware-detection-dataset/malware/VirusShare_49ab30919bdbfcf6ad21a5c3275704d0,./data/malicious/b90C4f9FCf9B9a91.png,740680,1
