,0
0,https://download.ccleaner.com/sunset/ccsetup564_xp-vista.exe
1,https://www.helpandmanual.com/download/snipsvg-setup.exe
2,https://sourceforge.net/projects/systeminformer/files/systeminformer-3.1.24298-release-setup.exe/download
3,https://www.texteditor.pro/downloads/TextEditorPro32.exe
4,https://github.com/pawelsalawa/sqlitestudio/releases/download/3.4.9/SQLiteStudio-3.4.9-windows-installer.exe
5,https://multicommander.com/Downloads//files/updates/MultiCommander_x64_(14.4.0.3047).exe
6,https://www.diskanalyzer.com/download/files/wiztree_4_23_setup.exe
7,https://portableapps.com/download//downloading/?a=PortableApps.comPlatform&s=s&d=pa&n=The%20PortableApps.com%20Platform&f=PortableApps.com_Platform_Setup_29.5.3.paf.exe
8,https://github.com/kovidgoyal/calibre/releases/download/v7.22.0/calibre-portable-installer-7.22.0.exe
9,https://www.wscc-app.com/main/downloads.php?dlf=wscc_x64_setup.exe/../downloads/wscc_x64_setup.exe
10,https://rj-texted.se/#download/downloads/rj-install_x64.exe
11,https://www.foobar2000.org/download//getfile/foobar2000-arm64ec_v2.24.exe
12,https://www.hwinfo.com/files/hwi64_816.exe
13,https://aka.ms/vs/16/release/vc_redist.x64.exe
14,https://www.xdlab.ru/en/download.htm//files/tagscan-6.1.18-setup.exe
15,https://osdn.net/projects/crystaldiskmark/downloads/71859/CrystalDiskMark7_0_0h.exe/
16,https://sourceforge.net/projects/shotcut/files/v24.11.17/shotcut-win64-241117.exe/download
17,"https://portableapps.com/apps/internet/firefox_portable//redirect/?a=FirefoxPortable&s=s&p=&n=Mozilla Firefox, Portable Edition&d=sfpa&f=FirefoxPortable_132.0.2_Slovak.paf.exe"
18,https://github.com/FreeCAD/FreeCAD/releases//FreeCAD/FreeCAD/releases/download/1.0.0/FreeCAD_1.0.0-conda-Windows-x86_64-installer-1.exe-SHA256.txt
19,https://download.mp3tag.de/mp3tagv328-x64-setup.exe
20,https://portableapps.com/apps/internet/google-chrome-portable-64//downloading/?a=GoogleChromePortableLegacyWin764&s=s&p=&d=pa&f=GoogleChromePortableLegacyWin764_109.0.5414.120_online.paf.exe
21,https://mediaarea.net/en/MediaInfo/Download/Windows///mediaarea.net/download/binary/mediainfo-gui/21.03/MediaInfo_GUI_21.03_Windows.exe
22,https://github.com/localsend/localsend/releases//localsend/localsend/releases/download/v1.16.1/LocalSend-1.16.1-windows-x86-64.exe
23,https://www.cpuid.com/softwares/cpu-z.html//downloads/cpu-z/cpu-z_1.87-en.exe
24,https://sourceforge.net/projects/qbittorrent/files/qbittorrent-win32/qbittorrent-5.0.2/qbittorrent_5.0.2_lt20_qt6_x64_setup.exe.asc/download
25,https://downloads.vivaldi.com/stable/Vivaldi.5.6.2867.62.x64.exe
26,https://mkvtoolnix.download/downloads.html#windows/windows/releases/88.0/mkvtoolnix-64-bit-88.0-setup.exe
27,http://prdownloads.sourceforge.net/akelpad/AkelPad-3.7.4-setup.exe?download
28,https://gottcode.org/focuswriter/FocusWriter_1.8.9.exe.asc
29,https://fastcopy.jp///archive/FastCopy5.8.0_installer.exe
30,https://download.microsoft.com/download/1/6/5/165255E7-1014-4D0A-B094-B6A430A6BFFC/vcredist_x86.exe
31,https://www.giuspen.net/software/cherrytree_0.39.4_setup.exe
32,https://www.cpuid.com/softwares/hwmonitor.html//downloads/hwmonitor/hwmonitor_1.41.exe
33,https://download.bitcomet.com/achive/BitComet_0.85_setup.exe
34,https://github.com/mamedev/mame/releases/download/mame0272/mame0272s.exe
35,https://wildbit-soft.fi/download/dev/6_14/ViewerSetupwohelp.exe
36,https://portableapps.com/apps/utilities/portableapps.com_appcompactor//downloading/?a=PortableApps.comAppCompactor&s=s&p=&d=pa&n=PortableApps.com AppCompactor&f=PortableApps.comAppCompactor_3.7.8_English.paf.exe
37,https://portableapps.com/apps/utilities/7-zip_portable//downloading/?a=7-ZipPortable&s=s&p=&d=pa&n=7-Zip Portable&f=7-ZipPortable_24.08.paf.exe
38,https://www.diskgenius.com/download.php//dyna_download/?software=DGEngSetup5611580.exe
39,https://github.com/cyanfish/naps2/releases/download/v7.5.2/naps2-7.5.2-win.exe
40,https://www.heidisql.com/download.php?download=portable-64//builds/heidisql64.r6943.exe
41,https://gottcode.org/tetzle/Tetzle_3.0.0.exe.asc
42,https://portableapps.com/apps/utilities/winmerge_portable//downloading/?a=WinMergePortable&s=s&p=&d=pa&n=WinMerge Portable&f=WinMergePortable_2.16.40.paf.exe
43,https://cdn.openttd.org/openttd-releases/14.1/openttd-14.1-windows-arm64.exe
44,https://portableapps.com/apps/internet/seamonkey_portable//redirect/?a=SeaMonkeyPortable&s=s&p=&n=SeaMonkey Portable&d=sfpa&f=SeaMonkeyPortable_2.53.19_Finnish.paf.exe
45,https://antibody-software.com/wizfile/download//files/wizfile_3_10_setup.exe
46,https://portableapps.com/apps/graphics_pictures/gimp_portable//downloading/?a=GIMPPortableLegacyWinXP&s=s&p=&d=pa&n=GIMP%20Portable&f=GIMPPortableLegacyWinXP_2.8.22.paf.exe
47,https://registry-finder.com//bin/2.59.0.0/RegistryFinderSetup2.59.exe
48,https://portableapps.com/apps/utilities/java_portable_64//downloading/?a=Java64&s=s&p=&d=pa&n=jPortable64&f=jPortable64_8_Update_411_online.paf.exe
49,https://advancedrenamer.com/download//down/advanced_renamer_setup_3_95_4.exe
50,https://portableapps.com/apps/office/sigil-portable//support/antivirus?n=Sigil Portable&a=SigilPortable&v=2.1.0&f=SigilPortable_2.1.0.paf.exe&h=a5f6e52e74f179fd084e98d416c60de7b92fe8aee63765f0015cc61f6773559d
51,https://osdn.net/projects/crystaldiskmark/downloads/68567/CrystalDiskMark5_5_0Shizuku.exe/
52,https://miranda-ng.org/downloads///distr/stable/miranda-ng-v0.96.5_x64.exe
53,https://softpedia-secure-download.com/dl/8c58584967a42279288d980a09f6774f/60116244/100113391/software/multimedia/graphic/Riot-setup-x64.exe
54,https://syndicode.org/infekt/downloads/v1.3.0/iNFekt-v1.3.0-setup.exe
55,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-arm64-install.exe
56,https://portableapps.com/apps/graphics_pictures/krita-portable//downloading/?a=KritaPortable&s=s&p=&d=pa&n=Krita Portable&f=KritaPortable_5.2.2.paf.exe
57,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortable&s=s&p=&d=pa&n=Stellarium Portable&f=StellariumPortable_24.1.0.paf.exe
58,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
59,https://portableapps.com/apps/utilities/sumo-portable//support/antivirus?n=SUMo Portable (Discontinued)&a=SUMoPortable&v=5.17.10.542 Discontinued&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe&h=6d4ebe2beb331cf25ead5d8eed1dbc3229733cce95aefea5dd4186327adf3b0e
60,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
61,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
62,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeysPro_x86_setup.exe
63,https://pspad.poradna.net/release/pspad507_setup.exe
64,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4Sure64Setup.exe
65,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
66,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-install.exe
67,https://portableapps.com/apps/graphics_pictures/krita-portable//downloading/?a=KritaPortable&s=s&p=&d=pa&n=Krita Portable&f=KritaPortable_5.2.2.paf.exe
68,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortable&s=s&p=&d=pa&n=Stellarium Portable&f=StellariumPortable_24.1.0.paf.exe
69,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
70,https://portableapps.com/apps/utilities/sumo-portable//support/antivirus?n=SUMo Portable (Discontinued)&a=SUMoPortable&v=5.17.10.542 Discontinued&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe&h=6d4ebe2beb331cf25ead5d8eed1dbc3229733cce95aefea5dd4186327adf3b0e
71,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
72,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
73,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeys_x86_setup.exe
74,https://pspad.poradna.net/release/pspad507_setup.exe
75,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4Sure64Setup.exe
76,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
77,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-64-install.exe
78,https://portableapps.com/apps/graphics_pictures/krita-portable//support/antivirus?n=Krita Portable&a=KritaPortable&v=5.2.2&f=KritaPortable_5.2.2.paf.exe&h=9dea80133da0a167d9af2cdf79bc03fcf9dea19e79bbed61e79fc0d3c9bff8b1
79,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortableLegacyWinXP&s=s&p=&d=pa&n=Stellarium%20Portable&f=StellariumPortableLegacyWinXP_0.13.3.paf.exe
80,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
81,https://portableapps.com/apps/utilities/sumo-portable//downloading/?a=SUMoPortable&s=s&p=&d=pa&n=SUMo Portable (Discontinued)&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe
82,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
83,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
84,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeys_x86_setup.exe
85,https://pspad.poradna.net/release/pspad507_setup.exe
86,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4SureSetup.exe
87,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
88,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-arm64-install.exe
89,https://portableapps.com/apps/graphics_pictures/krita-portable//support/antivirus?n=Krita Portable&a=KritaPortable&v=5.2.2&f=KritaPortable_5.2.2.paf.exe&h=9dea80133da0a167d9af2cdf79bc03fcf9dea19e79bbed61e79fc0d3c9bff8b1
90,https://portableapps.com/apps/education/stellarium_portable//support/antivirus?n=Stellarium Portable&a=StellariumPortable&v=24.1.0&f=StellariumPortable_24.1.0.paf.exe&h=5506e9be718b99e8048f4bb9f3031e1c0cdc8edb41e28d3037a4d66051f7dd39
91,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-RETRO-Setup.exe
92,https://portableapps.com/apps/utilities/sumo-portable//downloading/?a=SUMoPortable&s=s&p=&d=pa&n=SUMo Portable (Discontinued)&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe
93,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
94,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
95,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeysPro_x64_setup.exe
96,https://pspad.poradna.net/release/pspad507_setup.exe
97,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4SureSetup.exe
98,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
99,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-64-install.exe
