path,label,fcns,xrefs,calls,strings,symbols,imports,signatures,covrage,codesz,percent
/Volumes/malware-dataset/malware/VirusShare_39edbfc07c389a37b11948e029c297c1,1,0,0,0,776,167,144,0,540,111132,0
/Volumes/malware-dataset/malware/VirusShare_2caacae77704bede1fe830809af7ad0e,1,0,0,0,2946,527,274,0,1088,459840,0
/Volumes/malware-dataset/malware/VirusShare_2d26ea2caa241fbc931827f9378ee580,1,0,0,0,14,27,1,0,4,8196,0
/Volumes/malware-dataset/malware/VirusShare_3bff12479ce90981e34da060aa21ab34,1,0,0,0,2,201,201,0,792,164632,0
/Volumes/malware-dataset/malware/VirusShare_1cfff144f176105024f63c9112160a50,1,0,0,0,14,8,8,0,32,4128,0
/Volumes/malware-dataset/malware/VirusShare_3d02d45b1995fbb4d0641cc5d0402fb7,1,0,0,0,2752,3,3,0,12,20492,0
/Volumes/malware-dataset/malware/VirusShare_53633e160e7b110e4eedcfb3477ac540,1,0,0,0,5000,41,41,0,164,8356,1
/Volumes/malware-dataset/malware/VirusShare_399dbd341e60525632f21dc19b96a981,1,0,0,0,2808,3,3,0,12,20492,0
/Volumes/malware-dataset/malware/VirusShare_4996535a6e01a4f49a8f590bb2c6eb4a,1,0,0,0,0,0,0,0,0,360448,0
/Volumes/malware-dataset/malware/VirusShare_1a13e4cb327caa578e41acf2b7f2f414,1,0,0,0,704,11,11,0,44,36908,0
/Volumes/malware-dataset/malware/VirusShare_3d28d9839a5429306d74fce304247090,1,0,0,0,661,11,11,0,44,286764,0
/Volumes/malware-dataset/malware/VirusShare_4a4c1eb8767fa2f3eb111262f9ec8310,1,0,0,0,2463,89,89,0,356,65892,0
/Volumes/malware-dataset/malware/VirusShare_49a6d88cba61889e6ce97a2dac7472b0,1,0,0,0,2476,267,267,0,1056,398368,0
/Volumes/malware-dataset/malware/VirusShare_56417758f3d0cd97f81b80d5e56e7ab4,1,0,0,0,2463,89,89,0,356,65892,0
/Volumes/malware-dataset/malware/VirusShare_565660f32504f490796866b4ce52d750,1,0,0,0,219,155,155,0,620,25196,2
/Volumes/malware-dataset/malware/VirusShare_076e7b2a18690999c257a0a5aa202536,1,0,0,0,2503,45,45,0,180,20660,0
/Volumes/malware-dataset/malware/VirusShare_49ab30919bdbfcf6ad21a5c3275704d0,1,0,0,0,4269,278,278,0,1112,533592,0
/Volumes/malware-dataset/malware/VirusShare_03db4d5838b63fbf564fa094dcdf2c60,1,0,0,0,2489,221,221,0,884,525172,0
/Volumes/malware-dataset/malware/VirusShare_1b4b72761a0b8f4d2def7f7af6322581,1,0,0,0,264,86,74,0,296,270632,0
/Volumes/malware-dataset/malware/VirusShare_2fe861b26f903565259d771263aec3a0,1,0,0,0,232,155,155,0,620,25196,2
/Volumes/malware-dataset/malware/VirusShare_3b72af951d936091df0d0cbbc91969b9,1,0,0,0,464,0,0,0,0,73728,0
/Volumes/malware-dataset/malware/VirusShare_481281da73cb3bdfd71912932c344110,1,0,0,0,0,95,95,0,380,45436,0
/Volumes/malware-dataset/malware/VirusShare_55e21ea6b9ed3ec1c34a03235c683370,1,0,0,0,2025,600,600,0,2208,592032,0
/Volumes/malware-dataset/malware/VirusShare_3a9f510647338477dc10ba61468f7b60,1,0,0,0,729,16,16,0,64,64,100
/Volumes/malware-dataset/malware/VirusShare_44053362567c08fa10ef1a8a5dafda00,1,0,0,0,2490,31,31,0,124,12412,0
/Volumes/malware-dataset/malware/VirusShare_08518115b1f3af503cf3329d6ae8a580,1,0,0,0,37,10,10,0,36,4132,0
/Volumes/malware-dataset/malware/VirusShare_4816090fcede7d7c5be40cc35fc678c6,1,0,0,0,766,11,11,0,44,65580,0
/Volumes/malware-dataset/malware/VirusShare_4a076d920e956637bfae129627a9dc20,1,0,0,0,153,88,88,0,0,114688,0
/Volumes/malware-dataset/malware/VirusShare_58bf3594c89e0b8b7a21abad2b0cdc2e,1,0,0,0,264,100,100,0,400,139664,0
/Volumes/malware-dataset/malware/VirusShare_0a5173fb533350460b36b3daf1751166,1,0,0,0,1187,46,46,0,184,94392,0
/Volumes/malware-dataset/malware/VirusShare_2e221b5f9bdf27802ff014f90e051b30,1,0,0,0,874,91,91,0,364,143724,0
/Volumes/malware-dataset/malware/VirusShare_4854ef16782425659985d0f098ad0c6c,1,0,0,0,2786,94,94,0,376,37240,1
/Volumes/malware-dataset/malware/VirusShare_4898f3b24b8f830d203a6363f6cfb67c,1,0,0,0,0,0,0,0,0,32768,0
/Volumes/malware-dataset/malware/VirusShare_3adaeb017dd2825055f31ee9d4474ad0,1,0,0,0,2229,338,338,0,1340,263484,0
/Volumes/malware-dataset/malware/VirusShare_4aaf776a4ed83a4f5434b04403d95213,1,0,0,0,0,134,134,0,0,258048,0
/Volumes/malware-dataset/malware/VirusShare_2e525cee70cec3ac453b1fd12ff37740,1,0,0,0,38,9,9,0,20,77844,0
/Volumes/malware-dataset/malware/VirusShare_0406ccd9e3843299933bd6c5423c85d2,1,0,0,0,9,504,1,0,4,385028,0
/Volumes/malware-dataset/malware/VirusShare_490715ffedba2d84a4a71749cb51b2b0,1,0,0,0,396,74,74,0,248,33016,0
/Volumes/malware-dataset/malware/VirusShare_4ab075f30eb8e75ca131524f0899b610,1,0,0,0,5624,107,107,0,416,119200,0
/Volumes/malware-dataset/malware/VirusShare_3caf2ccdc7bab01efb800fa2f50ba191,1,0,0,0,0,29,29,0,0,1716224,0
/Volumes/malware-dataset/malware/VirusShare_02bff08af78f38527ce187fa17c96460,1,0,0,0,17,11,11,0,20,122900,0
/Volumes/malware-dataset/malware/VirusShare_3b9341ecc3282cb6fe51672ec40cce70,1,0,0,0,150,947,947,0,1332,349492,0
/Volumes/malware-dataset/malware/VirusShare_3e282d21524c8da0749728afd03cd282,1,0,0,0,119,54,54,0,216,16600,1
/Volumes/malware-dataset/malware/VirusShare_53dec792e6379bf448c0cd9cd1060d30,1,0,0,0,405,155,155,0,620,25196,2
/Volumes/malware-dataset/malware/VirusShare_2adc621d515e7bdb01f70071f84780c0,1,0,0,0,2281,3,3,0,12,45068,0
/Volumes/malware-dataset/malware/VirusShare_48ad3b3ab14650dd484013a67e1cbf6b,1,0,0,0,191,96,96,0,332,41292,0
/Volumes/malware-dataset/malware/VirusShare_1c5e910e658f1439fe37d9394c3e6388,1,0,0,0,774,477,473,0,1752,34520,5
/Volumes/malware-dataset/malware/VirusShare_4942b71a288240bed23ecb98b78d599b,1,0,0,0,28,9,9,0,36,28708,0
/Volumes/malware-dataset/malware/VirusShare_3faf46198e74f2c7556fbe7bcbe50c60,1,0,0,0,99,153,153,0,176,8368,2
/Volumes/malware-dataset/malware/VirusShare_1ae98f5156690bc2bf39e87e9b779721,1,0,0,0,587,18,18,0,72,12360,0
/Volumes/malware-dataset/malware/VirusShare_3fc4224a297d2dd9c98edcae7648d366,1,0,0,0,2046,259,259,0,1036,308236,0
/Volumes/malware-dataset/malware/VirusShare_3abed95df5190da518b2e3801041ccb8,1,0,0,0,0,0,0,0,0,434176,0
/Volumes/malware-dataset/malware/VirusShare_07260dc99c897b6e974318d1d615a710,1,0,0,0,1708,96,96,0,336,90448,0
/Volumes/malware-dataset/malware/VirusShare_19c9973a4d4757b5b1dfd0073eaa9940,1,0,0,0,15,10,8,0,12,45068,0
/Volumes/malware-dataset/malware/VirusShare_49370da97a783529f715e852e349b840,1,0,0,0,17,64,64,0,256,49408,0
/Volumes/malware-dataset/malware/VirusShare_0372ad53f1833db0309ea51c238f8671,1,0,0,0,15,6,6,0,0,368640,0
/Volumes/malware-dataset/malware/VirusShare_3a9425924cfd5cde914bd54274f00cc0,1,0,0,0,17,11,11,0,20,20500,0
/Volumes/malware-dataset/malware/VirusShare_3a3bbc7656b3f4635967dd4b48d8cea0,1,0,0,0,74,30,30,0,0,45056,0
/Volumes/malware-dataset/malware/VirusShare_4b36395b756777e34c3b42d29a4dd1d0,1,0,0,0,20,31,31,0,124,57468,0
/Volumes/malware-dataset/malware/VirusShare_5d33801b511a8c47d0025b72a4d22c00,1,0,0,0,347,155,139,0,556,188972,0
/Volumes/malware-dataset/malware/VirusShare_59958102467d7646cd80e0e06279335a,1,0,0,0,18,2,2,0,8,720904,0
/Volumes/malware-dataset/malware/VirusShare_1eb5c7d1e983dd22e01b84e06f8a7850,1,0,0,0,13081,21,21,0,52,20532,0
