,path,label,fcns,xrefs,calls,strings,symbols,imports,signatures,covrage,codesz,percent
0,/Volumes/malware-dataset/unobfuscated-exes/et.exe,1,0,0,0,127,77,77,0,248,16632,1
1,/Volumes/malware-dataset/unobfuscated-exes/zombie.exe,1,0,0,0,18275,1417,218,0,1744,120528,1
2,/Volumes/malware-dataset/unobfuscated-exes/improved_calc.exe,1,0,0,0,1612,122,48,0,104,8296,1
3,/Volumes/malware-dataset/unobfuscated-exes/hyz.crawller.exe,1,0,0,0,1319,256,256,0,872,263016,0
4,/Volumes/malware-dataset/unobfuscated-exes/reverse.exe,1,0,0,0,75,52,52,0,128,8320,1
5,/Volumes/malware-dataset/unobfuscated-exes/TeleShadow.exe,1,0,0,0,25,59,1,0,4,221188,0
6,/Volumes/malware-dataset/unobfuscated-exes/ehud.exe,1,0,0,0,137,36,15,0,44,4140,1
7,/Volumes/malware-dataset/unobfuscated-exes/Logger2.exe,1,0,0,0,43,19,1,0,4,385028,0
8,/Volumes/malware-dataset/unobfuscated-exes/CryptoJoker.exe,1,0,0,0,22,39,1,0,4,581636,0
9,/Volumes/malware-dataset/unobfuscated-exes/keylogger test 2.exe,1,0,0,0,153,74,74,0,196,86212,0
10,/Volumes/malware-dataset/unobfuscated-exes/calc2.exe,1,0,0,0,80,59,59,0,144,8336,1
11,/Volumes/malware-dataset/unobfuscated-exes/KeyLoggerWIN10.exe,1,0,0,0,159,75,75,0,200,90312,0
12,/Volumes/malware-dataset/unobfuscated-exes/VEx.Destructive.exe,1,0,0,0,22,24,1,0,4,212996,0
13,/Volumes/malware-dataset/unobfuscated-exes/KeyLogger8.exe,1,0,0,0,224,1259,74,0,224,254176,0
14,/Volumes/malware-dataset/unobfuscated-exes/NinjaLSDecryptionManager.exe,1,0,0,0,21,92,1,0,4,65540,0
15,/Volumes/malware-dataset/unobfuscated-exes/Not a Keylogger.exe,1,0,0,0,212,100,39,0,100,8292,1
