"Name","Commit","Runtime","GitHub","Group","Hostname","Notes","GPU Type","GPU Count","Tags","_name_or_path","architectures","attention_probs_dropout_prob","hidden_act","hidden_dropout_prob","hidden_size","intermediate_size","layer_norm_eps","max_position_embeddings","model/num_parameters","num_attention_heads","num_hidden_layers","output_dir","per_device_eval_batch_size","per_device_train_batch_size","run_name","save_total_limit","torch_dtype","eval/accuracy","eval/f1","eval/loss","eval/precision","eval/recall","eval/runtime","eval/samples_per_second","eval/steps_per_second","total_flos","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"malberta-d9ddb5F9A0","47316c7189787db1ef308e451dc372abc9ed2af5","5661","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","partially-obfuscated-benign","artemis-a40-14.local","-","NVIDIA A40","1","classifier-from-pretrained-with-frozen-attention","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1830456/","[""RobertaForMaskedLM""]","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1830841/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1830841/","1","float32","0.8052877196325757","0.7987932076915857","0.4137193262577057","0.8168935247347647","0.8052877196325757","953.096","4789.964","18.712","79519710113027710","144894","1.240356206893921","3.2782585890375034e-8","0.4074","0.41454901162053703","5648.675","3283.304","25.651"
"malberta-ED5e3f01a5","47316c7189787db1ef308e451dc372abc9ed2af5","11987","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","partially-obfuscated-benign","artemis-a40-14.local","-","NVIDIA A40","1","classifier-from-pretrained","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1830456/","[""RobertaForMaskedLM""]","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1830840/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1830840/","1","float32","0.849438426213421","0.8480916453317823","0.3310638666152954","0.850269791970025","0.849438426213421","1122.7938","4066.014","15.884","79519710113027710","144894","1.1218522787094116","3.2782585890375034e-8","0.2853","0.30719494987149853","11973.9911","1548.884","12.101"
"malberta-2640Fc8F11","47316c7189787db1ef308e451dc372abc9ed2af5","11451","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","partially-obfuscated-benign","artemis-a40-01.local","-","NVIDIA A40","1","classifier-from-scratch","","","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1830457/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1830457/","1","","0.8282468055185919","0.8256152081051288","0.3667301833629608","0.8310181936140607","0.8282468055185919","972.3965","4694.89","18.34","79519710113027710","144894","1.875097393989563","3.2782585890375034e-8","0.3451","0.3732985541633173","11441.082","1621.028","12.664"
"malberta-e4eecfd018","47316c7189787db1ef308e451dc372abc9ed2af5","12970","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","partially-obfuscated-benign","artemis-a40-01.local","-","NVIDIA A40","1","pretrain","","","0.001","gelu_new","0.01","512","2048","0.01","34","23012621","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1830456/","128","128","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1830456/","","","","","2.286187648773194","","","1117.7472","4084.372","31.91","79524307226210880","144894","1.797338843345642","3.2782585890375034e-8","2.2957","2.419141458613003","12444.9031","1490.274","11.643"
"malberta-E05CaA342f","47316c7189787db1ef308e451dc372abc9ed2af5","8872","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","obfuscated-benign","artemis-a40-11.local","Classifier from scratch","NVIDIA A40","1","classifier-from-scratch","","","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1821392/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1821392/","1","","0.8584365256187652","0.8586918435768126","0.28535860776901245","0.8595643558656657","0.8584365256187652","756.2884","4679.571","18.28","61566204039854980","112180","1.6672323942184448","3.6102692101978965e-8","0.233","0.2609059825685705","8858.3223","1620.966","12.664"
"malberta-Dfb0BAddF1","47316c7189787db1ef308e451dc372abc9ed2af5","4424","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","obfuscated-benign","artemis-a40-10.local","Classifier from 6hq3jn90 with frozen transformer weights","NVIDIA A40","1","classifier-from-pretrained-with-frozen-attention","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1811540/","[""RobertaForMaskedLM""]","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1821180/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1821180/","1","float32","0.8470952401807802","0.8471548261412685","0.3073664605617523","0.84723537008871","0.8470952401807802","747.8125","4732.61","18.487","61566204039854980","112180","0.8343502879142761","3.6102692101978965e-8","0.266","0.277311244021977","4409.2513","3256.57","25.442"
"malberta-1e2bEd8f8b","47316c7189787db1ef308e451dc372abc9ed2af5","8911","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","obfuscated-benign","artemis-a40-13.local","Classifier from 6hq3jn90","NVIDIA A40","1","classifier-from-pretrained","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1811540/","[""RobertaForMaskedLM""]","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1816699/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1816699/","1","float32","0.8704031103909039","0.8706964196262413","0.26405400037765503","0.8721318891263886","0.8704031103909039","852.6508","4150.709","16.214","61566204039854980","112180","1.0452427864074707","3.6102692101978965e-8","0.2093","0.22424031557044705","8894.7788","1614.322","12.612"
"malberta-8d00c6b289","47316c7189787db1ef308e451dc372abc9ed2af5","13539","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","obfuscated-benign","artemis-a40-13.local","-","NVIDIA A40","1","pretrain","","","0.001","gelu_new","0.01","512","2048","0.01","34","23012621","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1811540/","128","128","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1811540/","","","","","2.8652138710021973","","","862.6941","4102.387","32.051","61569763243074240","112180","1.9395467042922976","3.6102692101978965e-8","2.777","2.8950753430798213","13245.0825","1084.103","8.47"
"malberta-F1A447cBC2","47316c7189787db1ef308e451dc372abc9ed2af5","5582","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","baseline","artemis-a40-10.local","Classifier from tu1qrpi3 with frozen transformer weights","NVIDIA A40","1","classifier-from-pretrained-with-frozen-attention","/mnt/lustre/scratch/inf/hw452/malberta-models/pretrain_1655399/","[""RobertaForMaskedLM""]","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1734498/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1734498/","1","float32","0.830260233256274","0.8264976259473353","0.35553309321403503","0.840985235677481","0.830260233256274","980.7043","4671.452","18.248","79139487580830720","144201","0.9519450068473816","6.93476466876096e-10","0.3272","0.34076586782805385","5572.7241","3312.14","25.876"
"malberta-82BaD17c5b","47316c7189787db1ef308e451dc372abc9ed2af5","11657","https://github.com/Henry-Ash-Williams/MalBERT/tree/47316c7189787db1ef308e451dc372abc9ed2af5","baseline","artemis-a40-00.local","Classifier from scratch","NVIDIA A40","1","classifier-from-scratch","","","0.001","gelu_new","0.01","512","2048","0.01","34","23011330","4","7","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1734314/","256","128","/mnt/lustre/scratch/inf/hw452/malberta-models/classifier_1734314/","1","","0.875577372687699","0.8742268965964893","0.2956583499908447","0.8798383615437699","0.875577372687699","1020.7983","4487.971","17.531","79139487580830720","144201","1.4231619834899902","6.93476466876096e-10","0.2458","0.28959749829513604","11637.7333","1586.017","12.391"
