"Name","Notes","Runtime","State","Tags","ID","model/num_parameters","eval/accuracy","eval/f1","eval/precision","eval/recall","eval/loss","train/loss","num_hidden_layers","hidden_size","hidden_act","hidden_dropout_prob","num_attention_heads","attention_probs_dropout_prob","intermediate_size","layer_norm_eps","max_position_embeddings","per_device_train_batch_size"
"malbert-classifier-E3087743FB","""Pretrained ktxqd1ob""","2278","finished","pretrain-experiment, pretrained","mwyb5cdc","79580162","0.8337809353151193","0.8310524396363831","0.8314141122196836","0.8337809353151193","0.37905123829841614","0.3183","11","768","silu","0.25","12","0.001","3072","0.01","34","512"
"malbert-classifier-E3087743FB","""Pretrained 44448hoo""","1091","finished","pretrain-experiment, pretrained","gkxzs8v5","12518882","0.7350182150301316","0.7287820055165014","0.7748715733245412","0.7350182150301316","0.6035088300704956","0.2983","8","352","relu","0.1","11","0.001","1408","0.01","18","512"
"malbert-classifier-E3087743FB","""Pretrained 73egstvd""","988","finished","pretrain-experiment, pretrained","31syoov3","10529378","0.810681858817824","0.8083014245665385","0.8141553118718787","0.810681858817824","0.46262097358703613","0.2985","4","352","silu","0.25","11","0.001","2816","0.05","34","128"
"malbert-classifier-E3087743FB","""Pretrained qr6tmzg1""","860","finished","pretrain-experiment, pretrained","ctfcnsj1","16641794","0.7854634831460674","0.7794693065718076","0.8017090211011902","0.7854634831460674","0.6896737813949585","0.2982","9","384","relu","0.1","12","0.001","1536","0.025","66","256"
"malbert-classifier-E3087743FB","""Pretrained bnzdwmlr""","664","finished","pretrain-experiment, pretrained","vcgjuivf","6749442","0.817360718039945","0.8110831510018456","0.8255110354216383","0.817360718039945","0.3736002445220947","0.3308","8","256","gelu_new","0.01","2","0.1","1024","0.01","130","128"
"malbert-classifier-E3087743FB","""Pretrained 7goku3pl""","315","finished","pretrain-experiment, pretrained","hf1wxphl","84674","0.6191110533497953","0.4734678274067526","0.3832984963798931","0.6191110533497953","0.665376603603363","0.6762","3","32","gelu","0.001","1","0.001","64","0.075","514","256"
"malbert-classifier-E3087743FB","""Pretrained i9vv06nz""","496","finished","pretrain-experiment, pretrained","0bfokuau","3616962","0.82503668004914","0.8212379744226492","0.8437653556592292","0.82503668004914","0.3646349906921386","0.3659","5","320","silu","0.01","5","0.25","320","0.1","34","512"
"malbert-classifier-E3087743FB","""Pretrained lwbv2732""","437","finished","pretrain-experiment, pretrained","k5973rc6","3590402","0.8436740828774665","0.8401851705188003","0.8469311070770412","0.8436740828774665","0.33590689301490784","0.2973","4","256","silu","0.001","2","0.001","1024","0.025","130","128"
"malbert-classifier-E3087743FB","""Pretrained muihf6cq""","254","finished","pretrain-experiment, pretrained","t3nzlmtf","77346","0.5187280294153299","0.35434753726735335","0.2690787685011114","0.5187280294153299","0.6923247575759888","0.6924","5","16","silu","0.1","1","0.25","256","0.1","514","1024"
"malbert-classifier-E3087743FB","""Pretrained dqyd5uhs""","461","finished","pretrain-experiment, pretrained","8nt9dccy","7790","0.604249219633835","0.45518752941819784","0.3651171194280986","0.604249219633835","0.6787674427032471","0.6873","10","4","gelu","0.25","4","0.25","16","0.075","34","1024"
"malbert-classifier-E3087743FB","""Pretrained g34v7i9k""","3865","finished","pretrain-experiment, pretrained","8c3wmtqo","170559490","0.7950905913816518","0.7911786928819823","0.8122615258719813","0.7950905913816518","0.42690229415893555","0.318","7","1408","silu","0.25","11","0.001","5632","0.01","66","1024"
"malbert-classifier-E3087743FB","""Pretrained crahe0mc""","3356","finished","pretrain-experiment, pretrained","uo6smrwg","89832322","0.8694747752307952","0.8687971228185833","0.871767123620325","0.8694747752307952","0.2744622230529785","0.2505","6","640","gelu_new","0.001","5","0.01","10240","0.01","34","128"
"malbert-classifier-E3087743FB","""Pretrained 8xdudjec""","2644","finished","pretrain-experiment, pretrained","75v3b4zw","4354082","0.7512011462926036","0.7476311670351496","0.794200523302005","0.7512011462926036","0.4463875889778137","0.3214","8","160","silu","0.01","5","0.25","1280","0.01","18","64"
"malbert-classifier-E3087743FB","""Pretrained j23b4zvi""","3455","finished","pretrain-experiment, pretrained","fkj54e4p","104614402","0.8798477690824312","0.8795730456082312","0.8820348238496302","0.8798477690824312","0.26912176609039307","0.2868","7","640","gelu_new","0.1","5","0.01","10240","0.01","66","256"
"malbert-classifier-E3087743FB","""Pretrained yn996gaw""","3309","finished","pretrain-experiment, pretrained","xsachiwu","117803522","0.8611030883685725","0.86095182894749","0.8714430748331237","0.8611030883685725","0.40142324566841125","0.1838","6","1536","silu","0.1","12","0.001","3072","0.025","66","64"
"malbert-classifier-E3087743FB","""Pretrained h2tpwr6l""","2809","finished","pretrain-experiment, pretrained","q72k5m5m","109146242","0.8652989865326304","0.8641186127509758","0.8668516198472672","0.8652989865326304","0.3273288905620575","0.306","4","1152","silu","0.1","9","0.001","9216","0.01","66","512"
"malbert-classifier-E3087743FB","""Pretrained 7qc7d31c""","1895","finished","pretrain-experiment, pretrained","jnppuqlp","320738","0.7623789253132308","0.7529733534695864","0.7923497440017313","0.7623789253132308","0.7079708576202393","0.29","9","48","gelu_new","0.1","6","0.001","192","0.025","34","64"
"malbert-classifier-E3087743FB","""Pretrained rijbapum""","2110","finished","pretrain-experiment, pretrained","weuzluay","53509634","0.8276305723624731","0.825041152159469","0.845219102488546","0.8276305723624731","0.449792355298996","0.2437","10","512","gelu_new","0.1","4","0.001","4096","0.01","130","128"
"malbert-classifier-E3087743FB","""Pretrained t4b5bce7""","1542","finished","pretrain-experiment, pretrained","ydrc6m2r","134822","0.7559089663267609","0.7526398252795994","0.7723507691597502","0.7559089663267609","0.4570469558238983","0.4246","8","36","gelu","0.1","9","0.001","72","0.025","18","128"
"malbert-classifier-E3087743FB","""Pretrained w3907soi""","1557","finished","pretrain-experiment, pretrained","d1thjhnt","2496002","0.8375779556632602","0.8379878700365003","0.8440793317967994","0.8375779556632602","0.3339248597621918","0.3612","7","128","gelu_new","0.1","2","0.1","1024","0.01","34","64"
"malbert-classifier-E3087743FB","""Pretrained us98k5zg""","1358","finished","pretrain-experiment, pretrained","xclk973e","587458","0.7648220578554003","0.7563686623779731","0.8059825196423582","0.7648220578554003","0.436446875333786","0.3266","6","64","gelu_new","0.25","2","0.1","512","0.01","34","64"
"malbert-classifier-E3087743FB","""Pretrained hlqb2zoy""","2066","finished","pretrain-experiment, pretrained","oknoiaps","79653890","0.8794753333270604","0.8793237745192309","0.8801309442383313","0.8794753333270604","0.2439040094614029","0.2925","11","768","silu","0.1","12","0.001","3072","0.025","130","128"
"malbert-classifier-E3087743FB","""Pretrained gicrmldj""","1293","finished","pretrain-experiment, pretrained","gh72ug39","93794","0.7269796485608939","0.726668746596345","0.7793740625849956","0.7269796485608939","0.4940051138401031","0.3989","1","48","gelu_new","0.1","6","0.1","192","0.05","18","64"
"malbert-classifier-E3087743FB","""Pretrained a3498qu7""","1403","finished","pretrain-experiment, pretrained","rusreqta","23011330","0.919770224153486","0.9206425020374628","0.9222829242723204","0.919770224153486","0.18878380954265592","0.2388","7","512","gelu_new","0.01","4","0.001","2048","0.01","34","128"
"malbert-classifier-E3087743FB","""Pretrained by5dqn56""","526","finished","pretrain-experiment, pretrained","7bnizv9g","978050","0.8010258847531501","0.7990980266664172","0.8002784954245651","0.8010258847531501","0.39243999123573303","0.3712","4","128","relu","0.25","8","0.01","512","0.05","18","128"
"malbert-classifier-E3087743FB","""Pretrained cd1mkhrq""","492","finished","pretrain-experiment, pretrained","kmanxpv0","8312578","0.8985885049231254","0.8979170641921363","0.8994127579516532","0.8985885049231254","0.24759334325790405","0.2872","10","256","silu","0.01","4","0.01","1024","0.025","66","64"
"malbert-classifier-E3087743FB","""Pretrained law3d96a""","1619","finished","pretrain-experiment, pretrained","5a4qibs4","48957698","0.7830684402982926","0.7794243282355178","0.7958539572600558","0.7830684402982926","0.5240245461463928","0.2982","10","768","gelu_new","0.001","6","0.01","1536","0.01","130","128"
"malbert-classifier-E3087743FB","""Pretrained ij7mxgui""","611","finished","pretrain-experiment, pretrained","k3wgs8v4","9500002","0.8534768175425758","0.8511953639686424","0.8579189874034426","0.8534768175425758","0.3158472180366516","0.3004","10","160","gelu","0.01","5","0.1","2560","0.05","66","64"
"malbert-classifier-E3087743FB","""Pretrained 8o2kcz3l""","447","finished","pretrain-experiment, pretrained","980ivxv6","1223938","0.8033287360205201","0.800425163788837","0.8056335938112478","0.8033287360205201","0.40805763006210327","0.3903","7","112","relu","0.1","7","0.1","448","0.05","18","256"
"malbert-classifier-E3087743FB","""Pretrained 6fpziulg""","719","finished","pretrain-experiment, pretrained","biucdkj1","6722562","0.8482688677916443","0.8477438837755131","0.8694082083663269","0.8482688677916443","0.5560956001281738","0.2906","11","128","gelu_new","0.01","2","0.1","2048","0.025","130","64"
"malbert-classifier-E3087743FB","""Pretrained 2axvrk9a""","793","finished","pretrain-experiment, pretrained","92j41b4h","12250626","0.7906746072918179","0.7863279675562829","0.8119846141891215","0.7906746072918179","0.3895241320133209","0.2781","9","256","gelu_new","0.001","4","0.01","2048","0.01","66","128"
"malbert-classifier-E3087743FB","""Pretrained iei6rkot""","397","finished","pretrain-experiment, pretrained","pwu9fuq6","2675138","0.7938144329896907","0.7921390155469729","0.8013727158362371","0.7938144329896907","0.6675505638122559","0.3104","8","192","gelu_new","0.1","3","0.25","384","0.025","66","64"
"malbert-classifier-E3087743FB","""Pretrained mohg69z3""","901","finished","pretrain-experiment, pretrained","pcov1gop","14897154","0.7989414345725895","0.7977693538253885","0.8164149458832789","0.7989414345725895","0.4564599692821502","0.2981","11","256","gelu_new","0.25","4","0.001","2048","0.01","130","64"
"malbert-classifier-E3087743FB","""Pretrained 7zvj5oya""","1021","finished","pretrain-experiment, pretrained","oqezf0lk","30000386","0.8840975819843547","0.8843786101882694","0.8848192148803734","0.8840975819843547","0.2511008381843567","0.2909","6","768","gelu_new","0.25","6","0.1","1536","0.025","66","64"
"malbert-classifier-E3087743FB","""Pretrained 7llyhwxg""","1011","finished","pretrain-experiment, pretrained","7uf5p77e","688074","0.7698491377411196","0.7605783131096597","0.7880476603439891","0.7698491377411196","0.48836588859558105","0.3717","6","88","gelu","0.25","11","0.001","352","0.01","18","64"
"malbert-classifier-E3087743FB","""Pretrained ely47f2n""","361","finished","pretrain-experiment, pretrained","smocofll","1050050","0.8168894919425933","0.8091317479514811","0.8301081960046152","0.8168894919425933","0.4846849739551544","0.3041","5","144","relu","0.01","9","0.001","288","0.025","34","128"
"malbert-classifier-E3087743FB","""Pretrained 3zp2zplz""","390","finished","pretrain-experiment, pretrained","ak9y8fc1","2380290","0.8617671707744466","0.8591511028474996","0.8689268587357377","0.8617671707744466","0.30371811985969543","0.278","11","128","gelu_new","0.1","2","0.1","512","0.025","130","64"
"malbert-classifier-E3087743FB","""Pretrained h9hjcokp""","1068","finished","pretrain-experiment, pretrained","rd5doj5v","21073602","0.9041348892768538","0.9033077181072826","0.9033088967991136","0.9041348892768538","0.2655757665634155","0.2436","10","320","gelu_new","0.01","5","0.1","2560","0.01","66","128"
"malbert-classifier-E3087743FB","""Pretrained nz5pi414""","326","finished","pretrain-experiment, pretrained","lvzxcuyg","215082","0.777976540445423","0.7742519773467192","0.7995021342962962","0.777976540445423","0.4089750647544861","0.4119","12","40","gelu","0.01","10","0.001","80","0.025","66","128"
